area,bathrooms,bedrooms,condo,parking_spots,price,suites,type,lat,lon
116.0,2.0,2.0,0.0,0.0,195000.0,0.0,house,-5.8089827,-35.2272512
220.0,1.0,3.0,0.0,3.0,350000.0,2.0,house,-5.8576398,-35.2014489
47.0,1.0,1.0,300.0,1.0,217900.0,1.0,apartment,0.0,0.0
55.0,0.0,2.0,200.0,0.0,200000.0,1.0,apartment,-5.8821365,-35.1722172
600.0,0.0,0.0,0.0,0.0,1200000.0,0.0,other,-5.7988797,-35.2188577
222.0,5.0,4.0,1200.0,3.0,1400000.0,4.0,apartment,-5.8032096,-35.2002054
59.0,1.0,2.0,0.0,1.0,298000.0,1.0,apartment,-5.8576398,-35.2014489
158.0,4.0,3.0,0.0,3.0,800000.0,3.0,apartment,-5.8152068,-35.2147971
250.0,3.0,4.0,0.0,3.0,1000000.0,2.0,house,-5.8273343,-35.2258899
103.0,2.0,3.0,500.0,2.0,550000.0,1.0,apartment,-5.7845495,-35.1984438
271.0,5.0,0.0,0.0,0.0,120000.0,0.0,other,-5.7372347,-35.2360433
70.0,1.0,3.0,230.0,1.0,130000.0,1.0,apartment,-5.8269204,-35.1985475
240.0,4.0,5.0,1600.0,4.0,590000.0,4.0,house,-5.7505819,-35.253447
287.0,5.0,4.0,0.0,4.0,599900.0,3.0,house,-5.8821365,-35.1722172
60.0,2.0,2.0,625.0,1.0,320000.0,1.0,apartment,0.0,0.0
370.0,1.0,2.0,0.0,1.0,400000.0,1.0,apartment,-5.7845495,-35.1984438
187.0,4.0,4.0,684.0,3.0,1381000.0,2.0,apartment,-5.8032096,-35.2002054
87.0,2.0,3.0,640.0,2.0,340000.0,1.0,apartment,-5.8126859,-35.2084239
275.0,4.0,3.0,1400.0,2.0,1000000.0,0.0,apartment,-5.7844356,-35.2018859
202.0,4.0,4.0,0.0,3.0,550000.0,2.0,house,-5.8724764,-35.186541
100.0,2.0,0.0,0.0,0.0,250000.0,0.0,other,-5.7845495,-35.1984438
89.0,1.0,1.0,0.0,0.0,680000.0,1.0,other,-5.89325,-35.1704811
465.0,4.0,3.0,0.0,10.0,850000.0,3.0,house,-5.8226937,-35.2126403
50.0,1.0,0.0,0.0,0.0,200000.0,0.0,other,-5.8576398,-35.2014489
51.0,1.0,1.0,0.0,1.0,150000.0,0.0,apartment,-5.8437235,-35.2214483
44.0,1.0,1.0,1123.0,1.0,190000.0,0.0,other,-5.7845495,-35.1984438
44.0,1.0,1.0,1200.0,1.0,265000.0,0.0,apartment,-5.7845495,-35.1984438
64.0,1.0,2.0,310.0,1.0,276406.0,1.0,apartment,-5.8821365,-35.1722172
280.0,4.0,5.0,0.0,4.0,330000.0,3.0,house,0.0,0.0
285.0,5.0,3.0,0.0,2.0,750000.0,3.0,house,-5.7999595,-35.2125372
450.0,3.0,3.0,0.0,2.0,520000.0,2.0,house,-5.8652613,-35.1962325
60.0,2.0,2.0,300.0,1.0,270000.0,1.0,apartment,0.0,0.0
92.0,3.0,3.0,460.0,2.0,490000.0,1.0,apartment,-5.8576398,-35.2014489
144.0,1.0,3.0,0.0,2.0,280000.0,0.0,house,-5.7978488,-35.2092207
59.0,1.0,2.0,0.0,1.0,287537.0,1.0,apartment,-5.8032096,-35.2002054
60.0,2.0,2.0,300.0,0.0,295000.0,1.0,apartment,0.0,0.0
319.0,0.0,4.0,0.0,2.0,690000.0,3.0,house,-5.8821365,-35.1722172
34.0,1.0,0.0,0.0,1.0,200000.0,0.0,other,-5.8154225,-35.2061012
90.0,1.0,3.0,240.0,1.0,170000.0,1.0,apartment,-5.8437235,-35.2214483
600.0,6.0,5.0,0.0,4.0,1300000.0,4.0,house,-5.8576398,-35.2014489
175.0,3.0,3.0,0.0,2.0,1500000.0,3.0,apartment,-5.8821365,-35.1722172
42.0,1.0,1.0,519.0,1.0,150000.0,0.0,apartment,-5.7869014,-35.1902633
54.0,1.0,2.0,0.0,1.0,210000.0,1.0,apartment,-5.7845495,-35.1984438
127.0,1.0,4.0,0.0,1.0,210000.0,2.0,house,-5.7978488,-35.2092207
250.0,1.0,3.0,0.0,2.0,450000.0,0.0,house,-5.8437235,-35.2214483
59.0,2.0,2.0,230.0,1.0,250000.0,1.0,apartment,-5.866287,-35.1917372
164.0,0.0,3.0,0.0,0.0,350000.0,1.0,house,-5.8576398,-35.2014489
235.0,3.0,3.0,1200.0,3.0,730000.0,3.0,apartment,-5.8032096,-35.2002054
185.0,5.0,3.0,0.0,3.0,1000000.0,3.0,apartment,-5.783788,-35.1913745
238.0,1.0,4.0,0.0,3.0,1100000.0,4.0,apartment,-5.8032096,-35.2002054
49.0,0.0,2.0,215.0,1.0,100000.0,0.0,apartment,-5.7737244,-35.1997909
600.0,1.0,5.0,0.0,6.0,1500000.0,5.0,house,-5.8633093,-35.2324324
368.0,1.0,0.0,0.0,1.0,650000.0,0.0,other,-5.8032096,-35.2002054
330.0,6.0,3.0,0.0,7.0,690000.0,3.0,house,-5.8451339,-35.1975987
350.0,6.0,5.0,0.0,3.0,600000.0,5.0,house,-5.8469472,-35.2007131
111.0,3.0,3.0,300.0,1.0,180000.0,2.0,apartment,-5.8198444,-35.2109804
280.0,6.0,4.0,0.0,4.0,2307000.0,4.0,apartment,-5.7869014,-35.1902633
104.0,3.0,3.0,450.0,2.0,380000.0,1.0,apartment,-5.8437235,-35.2214483
40.0,1.0,1.0,0.0,0.0,130000.0,0.0,other,-5.8833757,-35.1810368
360.0,3.0,3.0,0.0,4.0,500000.0,1.0,house,-5.890304,-35.1670223
56.0,1.0,2.0,0.0,1.0,210000.0,1.0,apartment,-5.8032096,-35.2002054
587.0,7.0,7.0,0.0,3.0,3200000.0,0.0,house,-5.8347074,-35.2243579
92.0,1.0,3.0,530.0,2.0,520000.0,2.0,apartment,-5.8821365,-35.1722172
270.0,1.0,4.0,0.0,2.0,550000.0,2.0,apartment,-5.820507,-35.2164801
57.0,2.0,2.0,350.0,1.0,195000.0,1.0,apartment,0.0,0.0
50.0,0.0,2.0,110.0,1.0,135000.0,0.0,apartment,-5.8576398,-35.2014489
60.0,2.0,2.0,300.0,1.0,280000.0,1.0,apartment,0.0,0.0
30.0,1.0,0.0,0.0,0.0,60000.0,0.0,other,-5.78341245,-35.1957068
79.0,2.0,3.0,0.0,2.0,420000.0,1.0,apartment,-5.8821365,-35.1722172
435.0,0.0,0.0,752000.0,0.0,340000.0,0.0,other,-5.8822862,-35.1958557
98.0,2.0,3.0,0.0,2.0,420000.0,3.0,apartment,-5.8606852,-35.1989537
1600.0,0.0,0.0,0.0,0.0,12000000.0,0.0,other,-5.8576398,-35.2014489
138.0,2.0,3.0,0.0,3.0,260000.0,1.0,house,-5.8686163,-35.2305498
164.0,0.0,3.0,0.0,3.0,1350000.0,3.0,apartment,-5.7845495,-35.1984438
60.0,2.0,2.0,500.0,1.0,250000.0,1.0,apartment,0.0,0.0
56.0,2.0,2.0,400.0,1.0,210000.0,1.0,apartment,-5.8821365,-35.1722172
92.0,3.0,3.0,500.0,2.0,490000.0,1.0,apartment,-5.8576398,-35.2014489
280.0,1.0,3.0,0.0,4.0,500000.0,3.0,house,-5.8618005,-35.197517
328.0,4.0,6.0,0.0,0.0,490000.0,0.0,house,-5.7856388,-35.20926
97.0,0.0,4.0,900.0,2.0,320000.0,2.0,apartment,-5.7978488,-35.2092207
190.0,4.0,3.0,950.0,2.0,580000.0,2.0,apartment,-5.8576398,-35.2014489
293.0,5.0,6.0,0.0,2.0,700000.0,4.0,house,-5.8821365,-35.1722172
142.0,4.0,3.0,0.0,2.0,869515.0,3.0,apartment,-5.8576398,-35.2014489
1000.0,4.0,4.0,0.0,4.0,900000.0,3.0,house,-5.8624754,-35.1935607
358.0,5.0,3.0,0.0,4.0,600000.0,3.0,house,-5.8313796,-35.2204156
55.0,2.0,2.0,350.0,1.0,230000.0,1.0,apartment,-5.8535097,-35.2094484
260.0,3.0,3.0,0.0,2.0,520000.0,1.0,house,-5.8624143,-35.1967263
68.0,1.0,3.0,0.0,1.0,280000.0,1.0,apartment,-5.8576398,-35.2014489
55.0,1.0,2.0,560.0,1.0,320000.0,1.0,other,0.0,0.0
127.0,4.0,6.0,0.0,0.0,350000.0,0.0,house,-5.8032096,-35.2002054
723.0,2.0,5.0,0.0,3.0,3000000.0,3.0,house,-5.8821365,-35.1722172
4000.0,0.0,0.0,0.0,0.0,1860000.0,0.0,other,-5.8894188,-35.1830073
56.0,1.0,2.0,0.0,1.0,235000.0,1.0,apartment,-5.8437235,-35.2214483
42.0,1.0,1.0,100.0,1.0,105000.0,0.0,apartment,-5.8576398,-35.2014489
260.0,1.0,6.0,0.0,4.0,800000.0,6.0,other,-5.8821884,-35.1766066
350.0,6.0,4.0,0.0,4.0,1680000.0,4.0,apartment,-5.8032096,-35.2002054
200.0,3.0,3.0,0.0,2.0,520000.0,2.0,house,-5.8652613,-35.1962325
48.0,1.0,2.0,850.0,1.0,350000.0,1.0,other,-5.8674964,-35.180586
54.0,2.0,2.0,0.0,1.0,215000.0,1.0,apartment,-5.8821365,-35.1722172
650.0,2.0,3.0,0.0,2.0,380000.0,1.0,house,-5.8576398,-35.2014489
233.0,1.0,1.0,0.0,1.0,790000.0,0.0,other,0.0,0.0
162.0,1.0,3.0,0.0,2.0,280000.0,1.0,house,-5.8437235,-35.2214483
223.0,1.0,4.0,1200.0,4.0,650000.0,3.0,apartment,-5.8032096,-35.2002054
242.0,5.0,3.0,900.0,2.0,700000.0,3.0,apartment,-5.8032096,-35.2002054
51.0,1.0,2.0,300.0,2.0,209000.0,0.0,apartment,-5.8576398,-35.2014489
220.0,1.0,4.0,0.0,2.0,850000.0,4.0,apartment,-5.8032096,-35.2002054
115.0,2.0,4.0,0.0,2.0,590000.0,2.0,apartment,-5.8821365,-35.1722172
60.0,2.0,2.0,300.0,1.0,290000.0,1.0,apartment,-5.8821365,-35.1722172
248.0,1.0,7.0,0.0,6.0,600000.0,6.0,house,-5.8821365,-35.1722172
56.0,2.0,2.0,4500.0,1.0,350000.0,1.0,apartment,-5.8730875,-35.1800373
142.0,5.0,3.0,0.0,2.0,760000.0,3.0,apartment,-5.8576398,-35.2014489
320.0,5.0,4.0,2260.0,3.0,600000.0,4.0,apartment,0.0,0.0
213.0,5.0,4.0,0.0,3.0,685000.0,3.0,house,-5.8690614,-35.1911067
255.0,3.0,3.0,0.0,6.0,450000.0,1.0,house,-5.8576398,-35.2014489
126.0,5.0,3.0,0.0,3.0,650000.0,3.0,apartment,-5.8437235,-35.2214483
240.0,4.0,3.0,1500.0,2.0,620000.0,3.0,apartment,0.0,0.0
181.0,3.0,3.0,0.0,4.0,480000.0,1.0,house,-5.8658883,-35.1954251
118.0,1.0,3.0,0.0,2.0,530000.0,1.0,apartment,-5.7845495,-35.1984438
80.0,3.0,3.0,450.0,2.0,280000.0,1.0,apartment,-5.8477276,-35.2130915
54.0,1.0,2.0,230.0,1.0,230000.0,0.0,apartment,-5.8666079,-35.2088062
56.0,1.0,2.0,450.0,1.0,240000.0,1.0,apartment,-5.8032096,-35.2002054
350.0,0.0,0.0,0.0,6.0,750000.0,0.0,other,0.0,0.0
179.0,3.0,3.0,1300.0,2.0,420000.0,1.0,apartment,-5.8032096,-35.2002054
165.0,1.0,4.0,0.0,3.0,1080000.0,3.0,apartment,-5.8032096,-35.2002054
116.0,3.0,3.0,0.0,2.0,300000.0,1.0,house,-5.8492702,-35.2033571
