address,area,bathrooms,bedrooms,condo,parking_spots,price,suites,type
"Rua Romualdo Galvão, 3386 - Lagoa Nova, Natal - RN",78.0,2.0,3.0,650.0,2.0,240000.0,1.0,apartment
"Rua São José, 3170 - Lagoa Nova, Natal - RN",145.0,5.0,3.0,800.0,2.0,780000.0,3.0,other
"Avenida Capitão-mor Gouveia, 1135 - Natal - RN",,2.0,,,,,,other
"Rua Governador Juvenal Lamartine, 981 - Tirol, Natal - RN",76.0,2.0,2.0,550.0,1.0,210000.0,1.0,apartment
"Avenida Presidente Getúlio Vargas, 450 - Petrópolis, Natal - RN",480.0,5.0,4.0,2500.0,6.0,5777739.0,4.0,apartment
"Rua Maxaranguape, 550 - Tirol, Natal - RN",230.0,5.0,4.0,,,900000.0,4.0,apartment
"Rua Morais Navarro, 55 - Lagoa Nova, Natal - RN",236.0,5.0,4.0,795.0,3.0,1100000.0,3.0,other
"Rua General Oliveira Galvão, 1103 - Tirol, Natal - RN",140.0,4.0,3.0,,3.0,557211.0,3.0,apartment
"Rua Coronel Inácio Vale, 8849 - Ponta Negra, Natal - RN",38.0,1.0,1.0,750.0,1.0,120000.0,,other
Avenida Ruy Pereira dos Santos - São Gonçalo do Amarante - RN,68.0,1.0,2.0,,1.0,99900.0,,other
"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",75.0,2.0,3.0,305.0,2.0,250000.0,1.0,apartment
"Rua Ana Néri, 351 - Petrópolis, Natal - RN",120.0,3.0,3.0,710000.0,3.0,580000.0,2.0,apartment
"Rua Júlio Gomes Moreira, 1296 - Barro Vermelho, Natal - RN",76.0,2.0,3.0,550.0,1.0,210000.0,1.0,apartment
"Rua Ismael Pereira da Silva, 1515 - Capim Macio, Natal - RN",196.0,5.0,4.0,1100.0,4.0,1499000.0,3.0,apartment
"Travessa Major Afonso Magalhães, 183 - Areia Preta, Natal - RN",193.0,4.0,3.0,1800.0,4.0,800000.0,3.0,apartment
"Rua Apodi, 500 - Tirol, Natal - RN",135.0,4.0,4.0,920.0,2.0,850000.0,2.0,apartment
Avenida Ruy Pereira dos Santos - São Gonçalo do Amarante - RN,,1.0,2.0,,1.0,85900.0,,other
"Rua Potengi, 344 - Petrópolis, Natal - RN",268.0,6.0,4.0,1700.0,3.0,800000.0,4.0,apartment
"Rua Francisco Simplício - Ponta Negra, Natal - RN",94.0,2.0,3.0,480.0,2.0,329000.0,1.0,apartment
"Rua Joaquim Inácio, 1674 - Tirol, Natal - RN",140.0,4.0,4.0,850.0,2.0,430000.0,3.0,apartment
"Rua Julio Cesar de Andrade - Ponta Negra, Natal - RN",300.0,6.0,5.0,751.0,6.0,1300000.0,4.0,house
"Travessa Ayrton Senna, 426 - Capim Macio, Natal - RN",120.0,3.0,3.0,600.0,2.0,270000.0,2.0,apartment
"Rua Joaquim Eduardo de Farias, 213 - Ponta Negra, Natal - RN",56.0,2.0,2.0,250.0,1.0,170000.0,1.0,apartment
"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",153.0,3.0,3.0,598.0,2.0,579000.0,1.0,apartment
"Avenida Maria Lacerda Montenegro - Nova Parnamirim, Parnamirim - RN",46.0,1.0,2.0,,,,,other
