area,bathrooms,bedrooms,condo,parking_spots,price,suites,type,lat,lon
84.0,2.0,3.0,350.0,2.0,330000.0,1.0,apartment,0.0,0.0
511.0,1.0,6.0,0.0,9.0,1200000.0,4.0,house,-5.8437235,-35.2214483
355.0,2.0,0.0,0.0,4.0,400000.0,0.0,other,-5.7978488,-35.2092207
117.0,3.0,3.0,500.0,1.0,300000.0,2.0,apartment,-5.7845495,-35.1984438
136.0,4.0,4.0,0.0,3.0,860000.0,3.0,apartment,-5.8183494,-35.2088601
129.0,3.0,4.0,0.0,2.0,625000.0,2.0,apartment,-5.8593959,-35.2006146
410.0,5.0,5.0,0.0,4.0,2400000.0,4.0,other,-5.8053683,-35.2050354
208.0,4.0,4.0,1750.0,3.0,900000.0,4.0,apartment,-5.7845495,-35.1984438
72.0,2.0,3.0,0.0,1.0,320000.0,1.0,apartment,-5.8636826,-35.2153349
103.0,1.0,3.0,0.0,2.0,480000.0,1.0,apartment,-5.8226937,-35.2126403
120.0,3.0,3.0,0.0,3.0,280000.0,1.0,house,-5.8666079,-35.2088062
200.0,0.0,0.0,0.0,0.0,15000.0,0.0,other,-5.7233255,-35.2614748
55.0,2.0,2.0,0.0,1.0,210000.0,1.0,apartment,-5.8768735,-35.2236066
56.0,1.0,2.0,0.0,1.0,220000.0,0.0,apartment,0.0,0.0
55.0,2.0,2.0,0.0,1.0,205000.0,1.0,apartment,-5.8768735,-35.2236066
780.0,0.0,0.0,0.0,0.0,350000.0,0.0,other,0.0,0.0
56.0,2.0,2.0,440.0,1.0,230000.0,1.0,apartment,0.0,0.0
163.0,5.0,4.0,0.0,4.0,1100000.0,4.0,apartment,0.0,0.0
56.0,2.0,2.0,150.0,1.0,250000.0,1.0,apartment,-5.8841734,-35.1783162
142.0,5.0,4.0,785.0,3.0,788000.0,3.0,apartment,0.0,0.0
56.0,1.0,2.0,330.0,1.0,265000.0,1.0,apartment,-5.8032096,-35.2002054
100.0,2.0,3.0,0.0,2.0,550000.0,2.0,apartment,-5.8730875,-35.1800373
58.0,2.0,2.0,0.0,1.0,320000.0,1.0,apartment,-5.8128407,-35.2050094
471.0,5.0,4.0,0.0,4.0,1280000.0,4.0,apartment,-5.8053683,-35.2050354
55.0,2.0,2.0,265.0,1.0,249000.0,1.0,apartment,-5.8576398,-35.2014489
50.0,1.0,2.0,1000.0,1.0,330000.0,0.0,other,-5.8674964,-35.180586
110.0,2.0,3.0,743.0,2.0,480000.0,1.0,apartment,0.0,0.0
59.0,0.0,2.0,0.0,1.0,100000.0,1.0,apartment,-5.8475525,-35.2488687
237.0,4.0,4.0,1.0,3.0,1110000.0,4.0,apartment,0.0,0.0
98.0,3.0,3.0,945.0,2.0,365000.0,1.0,apartment,-5.8576398,-35.2014489
75.0,2.0,3.0,0.0,2.0,340000.0,1.0,apartment,-5.8502894,-35.2166072
58.0,2.0,2.0,290.0,2.0,170000.0,1.0,apartment,-5.8712248,-35.2266072
161.0,3.0,3.0,0.0,3.0,426250.0,1.0,apartment,-5.8226937,-35.2126403
170.0,4.0,4.0,0.0,4.0,890000.0,4.0,apartment,-5.8069157,-35.216795
152.0,3.0,3.0,0.0,3.0,530000.0,3.0,apartment,-5.8222404,-35.2102647
160.0,1.0,3.0,1500.0,2.0,500000.0,3.0,apartment,-5.8576398,-35.2014489
116.0,5.0,3.0,750.0,3.0,760000.0,3.0,apartment,-5.8005515,-35.1986193
65.0,1.0,2.0,615.0,1.0,200000.0,1.0,apartment,-5.8032096,-35.2002054
216.0,5.0,4.0,0.0,2.0,390000.0,4.0,house,0.0,0.0
140.0,1.0,3.0,0.0,2.0,770000.0,3.0,apartment,-5.8173131,-35.2226992
129.0,4.0,3.0,700.0,3.0,680000.0,3.0,apartment,-5.8286255,-35.2226081
59.0,2.0,2.0,350.0,1.0,310000.0,1.0,apartment,-5.8088697,-35.199618
78.0,3.0,3.0,0.0,2.0,200000.0,2.0,apartment,0.0,0.0
123.0,1.0,3.0,0.0,2.0,600000.0,3.0,apartment,-5.8594969,-35.2138288
94.0,3.0,3.0,689.0,2.0,275000.0,1.0,apartment,-5.8855448,-35.1775819
215.0,6.0,4.0,900.0,3.0,1321170.0,4.0,apartment,-5.7943317,-35.2023030906452
145.0,5.0,3.0,800.0,3.0,835000.0,3.0,apartment,-5.8174621,-35.2053957
198.0,1.0,3.0,2000.0,3.0,600000.0,3.0,apartment,-5.8576398,-35.2014489
62.0,2.0,2.0,270.0,1.0,110000.0,1.0,apartment,-5.8521764,-35.2568875
81.0,1.0,3.0,0.0,1.0,484586.0,1.0,apartment,-5.8222404,-35.2102647
78.0,2.0,3.0,0.0,2.0,385000.0,2.0,apartment,0.0,0.0
209.0,4.0,3.0,1600.0,2.0,930000.0,3.0,apartment,-5.8032096,-35.2002054
164.0,4.0,4.0,724.0,3.0,1151000.0,4.0,apartment,-5.8183494,-35.2088601
51.0,2.0,2.0,300.0,1.0,155000.0,1.0,apartment,-5.8437235,-35.2214483
33.0,1.0,1.0,0.0,0.0,220000.0,0.0,apartment,-5.8768491,-35.1793486
189.0,4.0,3.0,0.0,4.0,650000.0,3.0,apartment,-5.8053683,-35.2050354
55.0,1.0,2.0,0.0,1.0,244094.0,1.0,apartment,-5.8226937,-35.2126403
235.0,3.0,3.0,1300.0,3.0,690000.0,3.0,apartment,0.0,0.0
90.0,3.0,3.0,373.0,2.0,505500.0,1.0,apartment,-5.7978488,-35.2092207
300.0,5.0,3.0,0.0,3.0,2000000.0,3.0,house,-5.8437235,-35.2214483
94.0,3.0,3.0,480.0,2.0,420000.0,2.0,apartment,-5.8897065,-35.1728883
67.0,2.0,3.0,0.0,2.0,365500.0,1.0,apartment,-5.8821365,-35.1722172
60.0,2.0,2.0,400.0,1.0,290000.0,1.0,apartment,0.0,0.0
150.0,3.0,3.0,0.0,2.0,250000.0,2.0,house,-5.8437235,-35.2214483
65.0,2.0,3.0,0.0,1.0,210000.0,1.0,apartment,-5.8593959,-35.2006146
1500.0,0.0,36.0,0.0,0.0,3500000.0,36.0,other,-5.8821365,-35.1722172
482.0,1.0,1.0,0.0,1.0,350000.0,1.0,other,-5.8862742,-35.1655031
14427.0,2.0,3.0,0.0,2.0,480000.0,1.0,apartment,-5.8821365,-35.1722172
59.0,2.0,2.0,380.0,1.0,260000.0,1.0,apartment,-5.8365991,-35.2139684
79.0,2.0,3.0,0.0,2.0,363000.0,1.0,apartment,-5.8593959,-35.2006146
56.0,1.0,2.0,550.0,1.0,280000.0,1.0,apartment,0.0,0.0
52.0,2.0,2.0,0.0,1.0,230000.0,2.0,other,0.0,0.0
108.0,3.0,4.0,0.0,2.0,605000.0,2.0,apartment,-5.8559951,-35.2043315
58.0,2.0,2.0,480.0,2.0,290000.0,1.0,apartment,-5.8600136,-35.1998189
55.0,2.0,2.0,265.0,2.0,264900.0,1.0,apartment,-5.8627911,-35.1994162
252.0,3.0,3.0,0.0,2.0,900000.0,2.0,other,-5.7823372,-35.1946781
260.0,0.0,3.0,0.0,2.0,530000.0,3.0,house,-5.8576398,-35.2014489
56.0,1.0,2.0,0.0,1.0,130000.0,1.0,other,-5.855204,-35.2602622
50.0,1.0,2.0,140.0,1.0,122000.0,0.0,apartment,-5.8521764,-35.2568875
71.0,2.0,2.0,247.0,2.0,210000.0,1.0,house,-5.8521764,-35.2568875
111.0,2.0,3.0,0.0,2.0,270000.0,1.0,apartment,-5.8214697,-35.2168115
400.0,1.0,6.0,0.0,6.0,2200000.0,6.0,house,-5.8226937,-35.2126403
160.0,4.0,4.0,500.0,3.0,723500.0,3.0,apartment,-5.8164277,-35.2116397
123.0,4.0,3.0,0.0,2.0,710000.0,2.0,apartment,-5.8580854,-35.2023029
75.0,2.0,3.0,367.0,2.0,240000.0,1.0,apartment,-5.7767142,-35.2062156
57.0,2.0,2.0,550.0,1.0,330000.0,1.0,other,0.0,0.0
555.0,0.0,0.0,0.0,0.0,1250000.0,0.0,other,-5.8834627,-35.168662
475.0,9.0,8.0,0.0,2.0,585000.0,0.0,other,-5.8216313,-35.2062575
200.0,1.0,2.0,0.0,1.0,180000.0,0.0,house,-5.7372347,-35.2360433
34.0,1.0,0.0,0.0,0.0,271000.0,0.0,other,-5.8167905,-35.2082788
36.0,0.0,1.0,285.0,1.0,135000.0,0.0,apartment,0.0,0.0
142.0,1.0,3.0,720.0,3.0,450000.0,0.0,apartment,-5.8032096,-35.2002054
270.0,2.0,4.0,1400.0,4.0,1400000.0,4.0,apartment,-5.7982846,-35.1978866
58.0,1.0,2.0,100.0,1.0,110000.0,0.0,apartment,-5.8576398,-35.2014489
240.0,2.0,0.0,0.0,12.0,5000000.0,0.0,other,-5.7690001,-35.2618893
137.0,1.0,3.0,0.0,3.0,865000.0,3.0,apartment,-5.8226937,-35.2126403
56.0,2.0,2.0,380.0,1.0,250000.0,1.0,apartment,-5.8502894,-35.2166072
503.0,5.0,4.0,2100.0,4.0,2000000.0,4.0,apartment,-5.781494,-35.1998741
92.0,4.0,3.0,500.0,2.0,470000.0,3.0,apartment,-5.866287,-35.1917372
197.0,5.0,3.0,1600.0,3.0,800000.0,3.0,apartment,-5.8656475,-35.1925612
64.0,2.0,2.0,415.0,1.0,290000.0,1.0,apartment,-5.8827627,-35.1762694
90.0,3.0,3.0,0.0,1.0,200000.0,2.0,apartment,-5.8164277,-35.2116397
100.0,2.0,2.0,0.0,4.0,170000.0,1.0,house,-5.8521764,-35.2568875
196.0,5.0,3.0,1000.0,4.0,1550000.0,3.0,apartment,-5.8624754,-35.1935607
214.0,5.0,4.0,0.0,3.0,1100000.0,4.0,apartment,-5.7779927,-35.2038836
56.0,2.0,2.0,450.0,1.0,300000.0,1.0,apartment,-5.8226937,-35.2126403
204.0,4.0,3.0,800.0,2.0,450000.0,1.0,apartment,0.0,0.0
180.0,1.0,0.0,0.0,3.0,800000.0,3.0,apartment,-5.7869014,-35.1902633
56.0,2.0,2.0,290.0,1.0,150000.0,1.0,apartment,-5.8751449,-35.2027557
